match_id,season_id,date_id,home_team_id,away_team_id,referee_id,kickoff_time,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,home_points,away_points,total_goals,goal_difference
67,1,20150926,31,20,26,,4,1,H,1,1,D,15,22,8,8,17,6,5,9,5,1,0,0,3,0,5,3
68,1,20150926,34,24,27,,2,2,D,1,1,D,19,16,7,7,7,17,7,5,0,0,0,0,1,1,4,0
69,1,20150927,32,10,6,,0,1,A,0,0,D,15,16,2,3,17,22,6,4,4,4,0,0,0,3,1,-1
70,1,20150928,33,11,39,,2,3,A,1,0,H,9,12,4,4,9,8,6,4,0,3,0,0,0,3,5,-1
71,1,20151003,1,32,30,,1,1,D,1,1,D,12,11,6,2,8,13,5,3,1,1,0,0,1,1,2,0
72,1,20151003,3,28,29,,0,1,A,0,0,D,13,12,2,5,12,12,9,5,1,0,0,0,0,3,1,-1
73,1,20151003,8,27,39,,1,3,A,1,1,D,10,13,3,5,14,14,4,6,2,5,0,0,0,3,4,-2
74,1,20151003,10,33,17,,2,0,H,0,0,D,21,7,8,2,14,13,8,3,3,3,0,0,3,0,2,2
75,1,20151003,20,23,19,,6,1,H,1,1,D,23,6,11,4,13,8,6,3,3,1,0,0,3,0,7,5
76,1,20151003,24,17,26,,1,2,A,0,1,A,17,16,2,5,4,4,16,8,0,1,0,0,0,3,3,-1
77,1,20151003,29,34,32,,2,2,D,2,1,H,12,20,3,6,14,11,1,8,2,4,1,0,1,1,4,0
78,1,20151004,2,21,6,,3,0,H,3,0,H,12,9,5,5,8,17,3,6,1,3,0,0,3,0,3,3
79,1,20151004,11,18,25,,1,1,D,1,1,D,14,13,4,4,10,19,5,11,3,3,0,0,1,1,2,0
80,1,20151004,30,31,27,,2,2,D,2,1,H,11,19,2,11,8,19,5,6,1,4,0,0,1,1,4,0
81,1,20151017,8,3,37,,2,0,H,1,0,H,9,8,3,1,22,17,4,4,1,3,0,0,3,0,2,2
82,1,20151017,10,34,26,,1,3,A,1,1,D,6,24,1,4,9,11,1,9,1,3,1,0,0,3,4,-2
83,1,20151017,11,21,17,,0,3,A,0,2,A,12,10,3,7,12,14,5,3,2,2,0,0,0,3,3,-3
84,1,20151017,20,1,27,,5,1,H,4,1,H,15,5,11,1,11,5,1,7,2,1,0,0,3,0,6,4
85,1,20151017,27,17,36,,2,2,D,2,0,H,14,26,6,7,16,10,6,7,2,0,0,0,1,1,4,0
86,1,20151017,31,18,8,,0,0,D,0,0,D,13,12,4,3,15,11,8,6,1,2,0,0,1,1,0,0
87,1,20151017,32,2,29,,0,3,A,0,0,D,8,17,1,6,11,12,3,9,2,1,0,0,0,3,3,-3
88,1,20151017,33,29,25,,1,0,H,0,0,D,8,9,1,2,12,13,1,5,2,2,0,0,3,0,1,1
89,1,20151018,23,24,6,,6,2,H,3,2,H,11,18,6,6,10,10,3,7,1,1,0,0,3,0,8,4
90,1,20151019,30,28,39,,0,1,A,0,1,A,14,9,2,2,6,14,1,2,2,2,0,0,0,3,1,-1
91,1,20151024,2,11,22,,2,1,H,2,1,H,20,10,5,5,11,14,7,5,2,0,0,1,3,0,3,1
92,1,20151024,3,30,32,,1,2,A,0,0,D,9,11,3,4,10,8,4,6,2,3,0,0,0,3,3,-1
93,1,20151024,17,10,27,,1,0,H,0,0,D,12,9,3,4,7,11,3,2,3,1,0,0,3,0,1,1
94,1,20151024,24,33,19,,0,1,A,0,0,D,16,7,3,4,11,6,13,3,1,2,0,0,0,3,1,-1
95,1,20151024,28,32,25,,0,2,A,0,1,A,12,13,1,3,10,18,11,5,3,1,0,0,0,3,2,-2
96,1,20151024,34,8,17,,2,1,H,1,0,H,12,8,5,4,10,12,7,4,1,5,0,1,3,0,3,1
97,1,20151025,1,31,37,,1,5,A,1,3,A,11,14,3,9,8,15,4,5,0,1,0,0,0,3,6,-4
98,1,20151025,18,27,4,,1,1,D,0,0,D,15,8,2,3,8,11,10,7,1,0,0,1,1,1,2,0
99,1,20151025,21,20,26,,0,0,D,0,0,D,6,6,1,1,17,13,6,4,2,2,0,0,1,1,0,0
100,1,20151025,29,23,39,,3,0,H,1,0,H,9,21,3,8,12,10,1,10,0,2,0,1,3,0,3,3
101,1,20151031,8,18,26,,1,3,A,1,1,D,8,16,2,7,9,21,1,7,1,4,0,0,0,3,4,-2
102,1,20151031,10,21,29,,0,0,D,0,0,D,10,5,5,1,12,15,7,3,3,3,0,0,1,1,0,0
103,1,20151031,20,24,39,,2,1,H,0,0,D,21,5,5,3,4,13,12,4,2,2,0,1,3,0,3,1
104,1,20151031,23,28,37,,0,0,D,0,0,D,15,9,6,2,6,16,11,4,1,3,0,0,1,1,0,0
105,1,20151031,30,2,19,,0,3,A,0,0,D,8,15,3,5,12,7,4,4,2,0,0,0,0,3,3,-3
106,1,20151031,32,34,21,,2,0,H,1,0,H,20,8,5,3,16,12,7,2,3,0,0,1,3,0,2,2
107,1,20151031,33,17,6,,2,3,A,1,0,H,14,13,6,5,3,11,6,4,0,2,0,0,0,3,5,-1
108,1,20151101,11,29,4,,6,2,H,2,1,H,15,17,8,9,6,5,6,1,3,2,0,0,3,0,8,4
109,1,20151101,27,1,8,,2,0,H,2,0,H,11,16,2,2,5,5,4,6,0,2,1,0,3,0,2,2
110,1,20151102,31,3,27,,3,1,H,2,0,H,17,13,6,2,6,15,4,3,0,3,0,0,3,0,4,2
111,1,20151107,1,23,22,,0,1,A,0,1,A,20,2,5,1,9,11,16,0,2,2,0,0,0,3,1,-1
112,1,20151107,17,32,37,,2,1,H,0,0,D,12,8,6,4,10,10,4,2,0,1,0,0,3,0,3,1
113,1,20151107,21,33,27,,2,0,H,0,0,D,13,4,3,0,11,10,5,1,1,3,0,1,3,0,2,2
114,1,20151107,24,30,26,,1,0,H,0,0,D,9,8,5,0,12,7,5,2,1,0,0,0,3,0,1,1
115,1,20151107,28,8,6,,1,0,H,0,0,D,8,19,2,4,13,10,1,9,3,1,0,0,3,0,1,1
116,1,20151107,29,27,29,,0,1,A,0,0,D,9,11,3,4,3,7,10,11,1,3,0,0,0,3,1,-1
117,1,20151107,34,11,36,,1,1,D,1,1,D,16,13,5,4,11,12,3,5,1,2,0,0,1,1,2,0
118,1,20151108,2,31,25,,1,1,D,0,1,A,10,14,4,4,12,17,7,6,0,1,0,0,1,1,2,0
119,1,20151108,3,20,8,,0,0,D,0,0,D,3,13,0,3,7,7,3,8,1,1,0,0,1,1,0,0
120,1,20151108,18,10,32,,1,2,A,1,1,D,22,9,4,4,7,6,14,6,1,2,0,0,0,3,3,-1
121,1,20151121,8,24,8,,1,0,H,0,0,D,21,4,7,2,4,12,6,5,1,4,0,0,3,0,1,1
122,1,20151121,11,3,30,,4,0,H,3,0,H,16,10,9,3,6,9,2,3,0,0,0,0,3,0,4,4
123,1,20151121,20,18,17,,1,4,A,1,3,A,11,14,3,9,5,13,11,5,0,3,0,0,0,3,5,-3
124,1,20151121,23,17,29,,0,3,A,0,1,A,9,18,1,7,9,12,4,9,4,1,0,0,0,3,3,-3
125,1,20151121,27,28,22,,0,1,A,0,1,A,16,16,1,4,8,8,7,3,2,0,0,0,0,3,1,-1
126,1,20151121,30,1,4,,2,2,D,2,2,D,11,16,4,4,7,9,4,5,3,2,0,0,1,1,4,0
127,1,20151121,32,21,39,,1,2,A,0,1,A,10,13,5,6,6,12,4,10,1,2,0,0,0,3,3,-1
128,1,20151121,33,2,26,,2,1,H,2,1,H,4,11,1,3,14,10,3,5,3,2,0,0,3,0,3,1
129,1,20151122,31,34,6,,4,1,H,2,0,H,22,10,12,4,13,9,7,6,2,2,0,0,3,0,5,3
130,1,20151123,10,29,25,,0,1,A,0,0,D,19,12,7,4,18,11,11,2,1,3,0,0,0,3,1,-1
131,1,20151128,1,11,19,,3,3,D,0,2,A,19,11,10,6,6,6,10,5,2,0,0,0,1,1,6,0
132,1,20151128,3,32,22,,2,3,A,1,1,D,12,14,6,6,6,13,10,10,2,3,0,0,0,3,5,-1
133,1,20151128,10,23,42,,5,1,H,3,1,H,19,7,8,2,7,13,7,5,1,1,0,0,3,0,6,4
134,1,20151128,17,21,8,,1,1,D,1,1,D,7,10,3,2,5,7,1,8,0,1,0,0,1,1,2,0
135,1,20151128,20,27,37,,3,1,H,2,0,H,16,12,9,8,14,11,6,4,2,1,0,0,3,0,4,2
136,1,20151128,29,28,27,,2,0,H,0,0,D,18,7,5,3,4,10,9,5,0,2,0,1,3,0,2,2
137,1,20151129,18,30,6,,1,0,H,0,0,D,10,8,2,0,12,6,8,7,3,1,0,0,3,0,1,1
138,1,20151129,24,2,17,,1,1,D,1,1,D,7,12,2,3,8,6,3,6,1,1,0,0,1,1,2,0
139,1,20151129,31,8,30,,0,0,D,0,0,D,9,5,4,1,14,9,4,4,4,2,0,0,1,1,0,0
140,1,20151129,34,33,25,,1,1,D,1,0,H,17,7,6,3,15,16,5,2,0,2,0,0,1,1,2,0
141,1,20151205,2,29,39,,3,1,H,1,1,D,16,11,7,4,7,11,3,2,1,1,0,0,3,0,4,2
142,1,20151205,8,1,29,,0,1,A,0,0,D,19,15,6,5,10,13,11,4,2,1,0,0,0,3,1,-1
143,1,20151205,21,34,26,,0,0,D,0,0,D,21,9,1,2,9,13,6,2,1,0,0,0,1,1,0,0
144,1,20151205,27,3,6,,1,1,D,0,1,A,23,9,5,2,4,9,10,4,1,2,0,0,1,1,2,0
145,1,20151205,28,20,25,,2,0,H,2,0,H,7,11,4,4,9,10,1,6,0,1,0,0,3,0,2,2
146,1,20151205,30,17,30,,0,3,A,0,2,A,10,16,2,5,3,19,3,8,2,3,0,0,0,3,3,-3
147,1,20151205,32,24,27,,2,0,H,1,0,H,14,6,7,1,11,10,4,1,3,3,0,0,3,0,2,2
148,1,20151205,33,31,17,,1,1,D,1,1,D,11,9,4,3,13,10,3,6,3,2,0,0,1,1,2,0
149,1,20151206,23,18,4,,2,0,H,0,0,D,6,10,1,1,6,10,2,7,3,1,0,0,3,0,2,2
150,1,20151207,11,10,8,,1,1,D,0,0,D,19,14,4,5,4,11,13,6,1,2,0,0,1,1,2,0
151,1,20151212,1,21,6,,2,1,H,1,1,D,11,11,5,5,12,12,5,7,2,1,0,0,3,0,3,1
152,1,20151212,10,27,27,,1,0,H,1,0,H,12,15,5,3,11,13,8,5,0,0,0,0,3,0,1,1
153,1,20151212,20,30,39,,2,1,H,1,0,H,13,13,5,7,13,15,5,5,3,1,0,0,3,0,3,1
154,1,20151212,24,11,25,,1,1,D,0,1,A,9,15,2,3,9,6,5,4,1,0,0,0,1,1,2,0
155,1,20151212,29,32,14,,0,1,A,0,1,A,14,13,2,6,6,9,8,3,1,0,0,0,0,3,1,-1
156,1,20151212,34,28,4,,0,0,D,0,0,D,22,12,9,3,7,9,11,7,1,2,0,0,1,1,0,0
157,1,20151213,3,2,19,,0,2,A,0,2,A,18,8,2,4,8,7,5,5,0,0,0,0,0,3,2,-2
158,1,20151213,18,33,8,,2,2,D,1,1,D,28,4,8,2,7,10,4,4,0,0,0,0,1,1,4,0
159,1,20151213,31,23,37,,1,2,A,1,0,H,20,8,8,4,13,14,6,2,2,2,0,0,0,3,3,-1
160,1,20151214,17,8,26,,2,1,H,1,0,H,9,11,5,5,16,8,1,8,2,0,0,0,3,0,3,1
161,1,20151219,8,29,37,,3,1,H,2,0,H,17,11,7,3,12,12,2,2,1,3,0,0,3,0,4,2
162,1,20151219,11,17,17,,2,3,A,1,1,D,13,10,5,5,6,14,10,2,2,1,0,0,0,3,5,-1
163,1,20151219,21,24,30,,1,2,A,0,1,A,11,6,2,4,4,10,11,0,0,2,0,0,0,3,3,-1
164,1,20151219,23,3,25,,1,1,D,1,0,H,8,10,4,7,9,14,3,7,1,3,0,0,1,1,2,0
165,1,20151219,27,31,19,,0,2,A,0,2,A,11,13,4,6,18,9,4,7,1,1,0,0,0,3,2,-2
166,1,20151219,28,10,39,,1,2,A,0,1,A,26,12,5,3,6,12,7,3,2,0,0,0,0,3,3,-1
167,1,20151219,33,1,27,,1,2,A,0,0,D,6,16,2,7,12,9,4,8,2,1,2,0,0,3,3,-1
168,1,20151220,30,34,22,,0,0,D,0,0,D,21,11,2,2,6,9,8,9,0,1,0,0,1,1,0,0
169,1,20151220,32,18,26,,3,0,H,2,0,H,6,12,5,4,6,9,7,9,1,0,0,0,3,0,3,3
170,1,20151221,2,20,4,,2,1,H,2,0,H,8,20,5,6,5,16,4,8,0,2,0,0,3,0,3,1
171,1,20151226,1,10,30,,0,0,D,0,0,D,10,8,4,0,10,13,8,9,1,0,0,0,1,1,0,0
172,1,20151226,3,34,27,,1,1,D,0,1,A,15,10,8,4,14,13,9,6,3,3,0,0,1,1,2,0
